
═══ 커리어 흐름별 콘텐츠 ═══════════════════════════════════

### 전체 공용 (어느 무대에서나)  —  17종

  W8~      [조건] 누군가 보고 있었다                선택 1
  W8~20    [조건] 폼을 갈아엎을까                  선택 3
  W10~     [조건] 팀 상위권 진입 — 감독 메시지         알림
  W14~     [조건] 폼이 흔들린다                   선택 2
  W30~     [조건] 자리를 잡았다                   선택 4
  상시       [랜덤] 선배가 조언을 건네왔습니다            선택 4
  상시       [조건] 세 번째 재활                   선택 2
  상시       [조건] 수술 자국                     선택 3
  상시       [조건] 슬럼프 징후 — 코치 상담            선택 3
  상시       [조건] 시즌 5승 달성!                 알림
  상시       [조건] 올해만 두 번째다                 선택 3
  상시       [랜덤] 지역 방송 인터뷰 요청              선택 2
  상시       [조건] 최상의 컨디션 — 특별 훈련 제안        선택 2
  상시       [랜덤] 추가 불펜 세션 제안               선택 2
  상시       [랜덤] 팀 회식이 있습니다                선택 3
  상시       [조건] 피로 누적 경고                  선택 4
  상시       [랜덤] SNS에 경기 영상이 올라왔습니다        알림


══ 고교 (3년 · 리그 W7~W26 · 진로 허브 3학년 W28) ══

### 고교 공용 (학년 무관)  —  71종

  W1~156   [조건] 슬럼프 징후 — 코치 상담            선택 3
  W1~156   [조건] 최상의 컨디션 — 특별 훈련 제안        선택 2
  W1~156   [조건] 피로 누적 경고                  선택 4
  W3~      [조건] 시즌 팀 단체 사진 촬영             선택 2
  W4       [필수] 새 시즌이 시작됩니다               알림
  W5~      [조건] 경기장 봉사 활동 참여              선택 2
  W5~      [랜덤] 체력 측정 결과 부진               선택 2
  W5~      [랜덤] 훈련 이유에 대한 의문              선택 2
  W6~      [랜덤] 선배가 조언을 건네왔습니다            선택 4
  W6~      [랜덤] 우천으로 일정 변경                선택 3
  W6~      [랜덤] 팀 분위기                     선택 3
  W8~      [랜덤] 고교 불펜 특집 인터뷰              선택 2
  W8~      [랜덤] 선발 경쟁 주간 안내               선택 2
  W8~      [조건] 응원단이 훈련을 관람하러 왔다          선택 2
  W8~      [랜덤] 코치의 영상 분석 세션 제안           선택 2
  W8~      [랜덤] 투구 자세 교정 제안               선택 2
  W8~      [랜덤] 팀원 부상으로 갑작스러운 대체 등판       선택 2
  W8~      [랜덤] SNS에 경기 영상이 올라왔습니다        알림
  W9~      [랜덤] 시험 준비와 훈련 일정 충돌           선택 4
  W10~     [랜덤] 식단 조절 권고                  선택 2
  W10~     [조건] 장비가 낡아가고 있다               선택 2
  W10~     [랜덤] 친구가 연락해왔습니다               선택 3
  W10~     [랜덤] 코치 피드백: 투구 폼 교정           선택 4
  W10~     [조건] 프로 경기 관람 기회               선택 2
  W11      [필수] 중간고사 기간입니다                알림
  W12~     [랜덤] 회복일 운영 선택                 선택 3
  W12~     [랜덤] 훈련장 카메라 하이라이트             알림
  W14~     [랜덤] 중간고사 기간입니다                알림
  W14~     [랜덤] 지역 팟캐스트 출연 제안             선택 2
  W15~     [랜덤] 팬의 사인볼 요청                 선택 2
  W16~     [랜덤] 학교 행사                     선택 3
  W18~     [랜덤] 우천 경기 대응 평가               알림
  W18~     [랜덤] 장마가 길다                    선택 3
  W20~     [랜덤] 담임 선생님의 호출                선택 2
  W20~     [랜덤] 반등세 조명 기사                 알림
  W20      [필수] 하계 합숙 훈련 안내               선택 3
  W24~     [조건] 라이벌전 전망 헤드라인              알림
  W24~     [랜덤] 라이벌전 전망 헤드라인              선택 2
  W24~     [랜덤] 라이벌전 전야                   선택 4
  W30~     [랜덤] 지역 방송 인터뷰 요청              선택 2
  W38      [필수] 기말고사 기간입니다                알림
  W40~     [조건] 은퇴하는 선배/후배 선물             선택 2
  W50      [필수] 시즌 마무리                    알림
  상시       [랜덤] 갑작스러운 우천으로 실내 훈련 전환       선택 3
  상시       [랜덤] 경기 전 루틴 방해                선택 2
  상시       [랜덤] 경기 전날 과식                  선택 2
  상시       [랜덤] 경기 전날 부모님 응원 전화           선택 2
  상시       [조건] 구종 분석 기사 게재               알림
  상시       [랜덤] 구종 분석 기사 게재               알림
  상시       [랜덤] 다음 경기 선발 후보 통보            선택 4
  상시       [랜덤] 동기와 관계 조정                 선택 3
  상시       [랜덤] 라이벌교 소식                   선택 4
  상시       [랜덤] 몸 상태 체크 필요                선택 4
  상시       [랜덤] 배터리 호흡 특집                 알림
  상시       [랜덤] 수면 부족 상태로 훈련 출발           선택 2
  상시       [랜덤] 스카우트 참관 소식                선택 2
  상시       [조건] 스카우트 카메라 추가 방문            선택 4
  상시       [조건] 스카우트 카메라 추가 방문            선택 2
  상시       [랜덤] 스포츠 매체에 이름이 언급됐습니다        알림
  상시       [랜덤] 스포츠 매체에 이름이 언급됐습니다        알림
  상시       [랜덤] 우천으로 실내 훈련 전환             선택 3
  상시       [랜덤] 지역 방송 인터뷰 요청              선택 2
  상시       [랜덤] 추가 불펜 세션 제안               선택 2
  상시       [랜덤] 코치의 지나가는 칭찬               선택 2
  상시       [조건] 탈삼진 클립 확산                 알림
  상시       [조건] 탈삼진 클립 확산                 알림
  상시       [랜덤] 팀 회식이 있습니다                선택 3
  상시       [랜덤] 팀 회식이 있습니다                선택 3
  상시       [랜덤] 피로 누적 경고                  선택 4
  상시       [랜덤] 후배가 물어왔다                  선택 4
  상시       [랜덤] 훈련 중 발목 접질림               선택 2

### 고교 1학년  —  28종

  W1       [필수] 새 시즌이 시작됩니다               알림
  W2~8     [조건] 선배의 따끔한 조언                선택 2
  W3~      [조건] 선배 장비를 실수로 파손             선택 2
  W4~10    [조건] 청백전 첫 등판 기회               선택 3
  W5~      [조건] 감독의 특별 훈련 대상 선발           선택 2
  W5~      [조건] 선배의 기술 전수 제안              선택 2
  W5~      [조건] 첫 원정 버스                   선택 3
  W6~      [조건] 숙직 코치와의 우연한 만남            선택 2
  W6~      [조건] 실책 후 다음 등판 준비             선택 2
  W8~      [조건] 라커룸 소문                    선택 2
  W8~20    [조건] 시즌 중반 개인 평가               선택 2
  W10~     [조건] 동기보다 느린 성장                선택 2
  W10      [필수] 중간고사 기간입니다                알림
  W10~     [조건] 처음 받은 사인볼 요청              선택 2
  W12      [필수] 중간고사 기간입니다                알림
  W15~25   [조건] 학교 축제 vs 훈련               선택 2
  W18~22   [조건] 팀 상위권 진입 — 감독 메시지         알림
  W22      [필수] 하계 합숙 훈련 안내               알림
  W30~38   [조건] 시즌 5승 달성!                 알림
  W34      [필수] 고1 유망주 TOP 10 리포트         알림
  W42      [필수] 기말고사 기간입니다                알림
