team_id,hex,label
team:seoul_ravens,#2550BB,남색
team:seoul_comets,#46C342,초록
team:paju_unicorns,#5F37CD,보라
team:incheon_griffons,#1BB6D0,하늘
team:daejeon_blaze,#F33619,주황
team:gwangju_rhinos,#92A63F,연두
team:daegu_hawks,#4B6670,회색
team:busan_sealions,#255A74,파랑
team:wonju_winners,#6B6C88,검정
team:sangmu_phoenix,#AFA45D,카키
team:hanseong_hs,#1C478F,남색
team:cheongun_hs,#D4260B,주황
team:doseong_hs,#AB2850,빨강
team:yangcheon_hs,#EC8263,주황
team:cheongram_hs,#D98A36,노랑
team:daeyang_hs,#616F2A,연두
team:myeongil_hs,#3C8B39,초록
team:namsan_hs,#4CDCA7,청록
team:gangbyeon_hs,#1BC7D0,하늘
team:gwangun_hs,#1B7FB1,파랑
team:eunpyeong_hs,#1F5A9E,남색
team:samjeon_hs,#846ACB,보라
team:hanbit_hs,#A54A9C,자주
team:bugak_hs,#A33376,분홍
team:sinjeong_hs,#B5554A,갈색
team:mongnyeon_hs,#B3A442,카키
team:baekho_hs,#2A6F56,청록
team:songrim_hs,#70C36D,초록
team:gwanggyo_hs,#879195,회색
team:giheung_hs,#3A4F5F,검정
team:suseong_hs,#D9133C,빨강
team:manwol_hs,#F55B43,주황
team:bundang_hs,#CA7419,노랑
team:pangyo_hs,#B3D52A,연두
team:jungwon_hs,#238F1F,초록
team:ilsan_hs,#46B98F,청록
team:cheongna_hs,#25AAB1,하늘
team:gyeyang_hs,#3D96C2,파랑
team:gimpo_hs,#256BBB,남색
team:pyeongtaek_hs,#8874C1,보라
team:yeonsu_hs,#CA67C0,자주
team:pyeongchon_hs,#E44BA7,분홍
team:sangnok_hs,#B54336,갈색
team:sihwa_hs,#BEB57B,카키
team:misa_hs,#86A4AE,회색
team:osan_hs,#60626C,검정
team:seorak_hs,#2DACD2,하늘
team:chiak_hs,#960D36,빨강
team:bonguii_hs,#AA1E09,주황
team:gyeongpo_hs,#E09F5A,노랑
team:seolbong_hs,#ABC059,연두
team:taebaek_hs,#67CE63,초록
team:geumgang_hs,#9D2791,자주
team:yuseong_hs,#5DDFBB,청록
team:gyeryong_hs,#69CED3,하늘
team:sangdang_hs,#8BC0DA,파랑
team:baekseok_hs,#2A4A6F,남색
team:hongju_hs,#6C53B2,보라
team:musim_hs,#C030B1,자주
team:seonggeo_hs,#D67DB2,분홍
team:tangeum_hs,#B67872,갈색
team:gyebaek_hs,#857C42,카키
team:geumsan_hs,#5E818E,회색
team:yesan_hs,#5C5E96,검정
team:mudeung_hs,#EB1958,빨강
team:baegyang_hs,#9A5E1D,노랑
team:bitgoeul_hs,#841F3D,빨강
team:mujin_hs,#E78C7E,주황
team:pungnam_hs,#A36B14,노랑
team:wansan_hs,#B2CB4D,연두
team:yudal_hs,#398B4C,초록
team:wolmyeong_hs,#72CAAA,청록
team:seungju_hs,#5FC0DD,하늘
team:odong_hs,#64ABCE,파랑
team:namak_hs,#2256AC,남색
team:jungnim_hs,#6646BE,보라
team:gangjin_hs,#873D80,자주
team:hwasun_hs,#D9208F,분홍
team:palgong_hs,#4EB2E4,파랑
team:dalseong_hs,#762B23,갈색
team:paldal_hs,#A39B69,카키
team:sincheon_hs,#AEB5B7,회색
team:hyeongsan_hs,#617E9E,검정
team:gyerim_hs,#C31146,빨강
team:geumo_hs,#DF6B59,주황
team:yeongnam_hs,#BF8224,노랑
team:yeongil_hs,#BECE7E,연두
team:nakdong_hs,#28A123,초록
team:hahoe_hs,#20A272,청록
team:jungnyeong_hs,#41CFE6,하늘
team:haeun_hs,#6491C4,남색
team:gaya_hs,#3B2183,보라
team:dongnae_hs,#226C91,파랑
team:geumjeong_hs,#396496,남색
team:gwangan_hs,#52379D,보라
team:bulmo_hs,#6A2F64,자주
team:taehwa_hs,#E96AB6,분홍
team:namgang_hs,#804842,갈색
team:garak_hs,#706629,카키
team:taejong_hs,#A3AFC2,회색
team:masanman_hs,#5C6D96,검정
team:munsu_hs,#D95C81,빨강
team:chokseok_hs,#CE3E27,주황
team:bunseong_hs,#EC800C,노랑
team:geoje_hs,#7D951D,연두
team:tongyeong_hs,#7DCA88,초록
team:halla_hs,#E26132,감귤
team:hannae_hs,#3B9B78,청록
