team_id,stars,source
team:aewol_hs,2,doc
team:asan_univ,2,doc
team:baegyang_hs,3,doc
team:baekho_hs,4,doc
team:baekje_univ,4,doc
team:baeksan_univ,4,doc
team:baekseok_hs,3,doc
team:banwol_univ,2,doc
team:biseul_univ,3,doc
team:bitgoeul_hs,4,doc
team:bitgoeul_univ,3,doc
team:bonguii_hs,2,doc
team:bugak_hs,2,doc
team:bukhansan_univ,2,doc
team:bulmo_hs,3,doc
team:bundang_hs,3,doc
team:bunseong_hs,2,doc
team:bunseong_univ,2,doc
team:busan_sealions,2,budget_inverse
team:busan_waves,3,doc
team:busan_waves_farm,3,farm_inherit
team:byeollae_univ,3,doc
team:changwon_stars,4,doc
team:changwon_stars_farm,4,farm_inherit
team:cheongna_hs,3,doc
team:cheongram_hs,3,doc
team:cheongun_hs,4,doc
team:chiak_hs,3,doc
team:chiak_univ,3,doc
team:chokseok_hs,2,doc
team:daegu_hawks,2,budget_inverse
team:daegu_sabers,3,doc
team:daegu_sabers_farm,3,farm_inherit
team:daejeon_blaze,3,budget_inverse
team:daejeon_phantoms,2,doc
team:daejeon_phantoms_farm,2,farm_inherit
team:daeyang_hs,3,doc
team:dalgubeol_univ,4,doc
team:dalseong_hs,4,doc
team:dongnae_hs,4,doc
team:doseong_hs,4,doc
team:eunpyeong_hs,3,doc
team:gangbyeon_hs,3,doc
team:gangjin_hs,2,doc
team:garak_hs,3,doc
team:gaya_hs,3,doc
team:geoje_hs,2,doc
team:geoje_univ,2,doc
team:geumgang_hs,4,doc
team:geumjeong_hs,3,doc
team:geumjeong_univ,3,doc
team:geumo_hs,3,doc
team:geumsan_hs,2,doc
team:giheung_hs,4,doc
team:gimpo_hs,3,doc
team:gwanak_univ,3,doc
team:gwangan_hs,3,doc
team:gwanggyo_hs,4,doc
team:gwanggyo_univ,3,doc
team:gwangju_panthers,4,doc
team:gwangju_panthers_farm,4,farm_inherit
team:gwangju_rhinos,3,budget_inverse
team:gwangun_hs,3,doc
team:gwanyang_univ,2,doc
team:gyebaek_hs,2,doc
team:gyeongin_univ,3,doc
team:gyeongpo_hs,2,doc
team:gyerim_hs,3,doc
team:gyeryong_hs,3,doc
team:gyeryong_univ,3,doc
team:gyeyang_hs,3,doc
team:haedong_univ,4,doc
team:haeun_hs,4,doc
team:hahoe_hs,2,doc
team:hahoe_univ,2,doc
team:halla_hs,2,doc
team:hallyu_univ,5,doc
team:hanam_univ,3,doc
team:hanbit_hs,2,doc
team:hangang_univ,3,doc
team:hannae_hs,2,doc
team:hanseong_hs,5,doc
team:hongju_hs,3,doc
team:hwahong_univ,3,doc
team:hwasun_hs,2,doc
team:hyeongsan_hs,3,doc
team:hyeongsan_univ,2,doc
team:ilsan_hs,3,doc
team:incheon_griffons,3,budget_inverse
team:incheon_sharks,3,doc
team:incheon_sharks_farm,3,farm_inherit
team:jinwi_univ,2,doc
team:jungnim_hs,2,doc
team:jungnyeong_hs,2,doc
team:jungwon_hs,3,doc
team:manwol_hs,3,doc
team:masanman_hs,2,doc
team:misa_hs,2,doc
team:mongnyeon_hs,2,doc
team:mudeung_hs,5,doc
team:mujin_hs,3,doc
team:munsu_hs,2,doc
team:musim_hs,2,doc
team:myeongil_hs,3,doc
team:nakdong_hs,2,doc
team:namak_hs,2,doc
team:namak_univ,1,doc
team:namgang_hs,3,doc
team:namgang_univ,2,doc
team:namsan_hs,3,doc
team:namsan_univ,2,doc
team:odong_hs,2,doc
team:odong_univ,2,doc
team:okcheon_univ,1,doc
team:oreum_hs,2,doc
team:osan_hs,2,doc
team:osan_univ,2,doc
team:paju_unicorns,2,budget_inverse
team:paldal_hs,3,doc
team:palgong_hs,5,doc
team:pangyo_hs,3,doc
team:pungnam_hs,3,doc
team:pyeongchon_hs,2,doc
team:pyeongtaek_hs,3,doc
team:samjeon_hs,3,doc
team:sangdang_hs,3,doc
team:sangdang_univ,2,doc
team:sangmu_phoenix,4,ranks_inferred
team:sangnok_hs,2,doc
team:seogwi_hs,2,doc
team:seogwi_univ,2,doc
