team_id,season,rank
team:seoul_ravens,S-5,2
team:seoul_ravens,S-4,2
team:seoul_ravens,S-3,1
team:seoul_ravens,S-2,2
team:seoul_ravens,S-1,1
team:paju_unicorns,S-5,5
team:paju_unicorns,S-4,6
team:paju_unicorns,S-3,5
team:paju_unicorns,S-2,6
team:paju_unicorns,S-1,6
team:daejeon_blaze,S-5,6
team:daejeon_blaze,S-4,5
team:daejeon_blaze,S-3,6
team:daejeon_blaze,S-2,3
team:daejeon_blaze,S-1,4
team:gwangju_rhinos,S-5,4
team:gwangju_rhinos,S-4,3
team:gwangju_rhinos,S-3,4
team:gwangju_rhinos,S-2,5
team:gwangju_rhinos,S-1,5
team:sangmu_phoenix,S-5,1
team:sangmu_phoenix,S-4,1
team:sangmu_phoenix,S-3,2
team:sangmu_phoenix,S-2,1
team:sangmu_phoenix,S-1,2
team:seoul_comets,S-5,8
team:seoul_comets,S-4,9
team:seoul_comets,S-3,8
team:seoul_comets,S-2,9
team:seoul_comets,S-1,10
team:incheon_griffons,S-5,3
team:incheon_griffons,S-4,4
team:incheon_griffons,S-3,3
team:incheon_griffons,S-2,4
team:incheon_griffons,S-1,3
team:daegu_hawks,S-5,7
team:daegu_hawks,S-4,7
team:daegu_hawks,S-3,7
team:daegu_hawks,S-2,8
team:daegu_hawks,S-1,7
team:busan_sealions,S-5,9
team:busan_sealions,S-4,8
team:busan_sealions,S-3,10
team:busan_sealions,S-2,7
team:busan_sealions,S-1,8
team:wonju_winners,S-5,10
team:wonju_winners,S-4,10
team:wonju_winners,S-3,9
team:wonju_winners,S-2,10
team:wonju_winners,S-1,9
team:hanseong_hs,S-5,1
team:hanseong_hs,S-4,1
team:hanseong_hs,S-3,1
team:hanseong_hs,S-2,1
team:hanseong_hs,S-1,1
team:cheongun_hs,S-5,2
team:cheongun_hs,S-4,4
team:cheongun_hs,S-3,3
team:cheongun_hs,S-2,2
team:cheongun_hs,S-1,4
team:doseong_hs,S-5,3
team:doseong_hs,S-4,2
team:doseong_hs,S-3,4
team:doseong_hs,S-2,3
team:doseong_hs,S-1,2
team:yangcheon_hs,S-5,4
team:yangcheon_hs,S-4,3
team:yangcheon_hs,S-3,2
team:yangcheon_hs,S-2,4
team:yangcheon_hs,S-1,3
team:cheongram_hs,S-5,5
team:cheongram_hs,S-4,12
team:cheongram_hs,S-3,11
team:cheongram_hs,S-2,10
team:cheongram_hs,S-1,9
team:daeyang_hs,S-5,6
team:daeyang_hs,S-4,5
team:daeyang_hs,S-3,12
team:daeyang_hs,S-2,11
team:daeyang_hs,S-1,10
team:myeongil_hs,S-5,7
team:myeongil_hs,S-4,6
team:myeongil_hs,S-3,5
team:myeongil_hs,S-2,12
team:myeongil_hs,S-1,11
team:namsan_hs,S-5,8
team:namsan_hs,S-4,7
team:namsan_hs,S-3,6
team:namsan_hs,S-2,5
team:namsan_hs,S-1,12
team:gangbyeon_hs,S-5,9
team:gangbyeon_hs,S-4,8
team:gangbyeon_hs,S-3,7
team:gangbyeon_hs,S-2,6
team:gangbyeon_hs,S-1,5
team:gwangun_hs,S-5,10
team:gwangun_hs,S-4,9
team:gwangun_hs,S-3,8
team:gwangun_hs,S-2,7
team:gwangun_hs,S-1,6
team:eunpyeong_hs,S-5,11
team:eunpyeong_hs,S-4,10
team:eunpyeong_hs,S-3,9
team:eunpyeong_hs,S-2,8
team:eunpyeong_hs,S-1,7
team:samjeon_hs,S-5,12
team:samjeon_hs,S-4,11
team:samjeon_hs,S-3,10
team:samjeon_hs,S-2,9
team:samjeon_hs,S-1,8
team:hanbit_hs,S-5,13
team:hanbit_hs,S-4,16
team:hanbit_hs,S-3,15
team:hanbit_hs,S-2,14
team:hanbit_hs,S-1,13
team:bugak_hs,S-5,14
team:bugak_hs,S-4,13
team:bugak_hs,S-3,16
team:bugak_hs,S-2,15
team:bugak_hs,S-1,14
team:sinjeong_hs,S-5,15
team:sinjeong_hs,S-4,14
team:sinjeong_hs,S-3,13
team:sinjeong_hs,S-2,16
team:sinjeong_hs,S-1,15
team:mongnyeon_hs,S-5,16
team:mongnyeon_hs,S-4,15
team:mongnyeon_hs,S-3,14
team:mongnyeon_hs,S-2,13
team:mongnyeon_hs,S-1,16
team:baekho_hs,S-5,1
team:baekho_hs,S-4,3
team:baekho_hs,S-3,2
team:baekho_hs,S-2,1
team:baekho_hs,S-1,3
team:songrim_hs,S-5,4
team:songrim_hs,S-4,14
team:songrim_hs,S-3,13
team:songrim_hs,S-2,12
team:songrim_hs,S-1,11
team:gwanggyo_hs,S-5,2
team:gwanggyo_hs,S-4,1
team:gwanggyo_hs,S-3,3
team:gwanggyo_hs,S-2,2
team:gwanggyo_hs,S-1,1
team:giheung_hs,S-5,3
team:giheung_hs,S-4,2
team:giheung_hs,S-3,1
team:giheung_hs,S-2,3
team:giheung_hs,S-1,2
team:suseong_hs,S-5,5
team:suseong_hs,S-4,4
team:suseong_hs,S-3,14
team:suseong_hs,S-2,13
team:suseong_hs,S-1,12
team:manwol_hs,S-5,6
team:manwol_hs,S-4,5
team:manwol_hs,S-3,4
team:manwol_hs,S-2,14
team:manwol_hs,S-1,13
team:bundang_hs,S-5,7
team:bundang_hs,S-4,6
team:bundang_hs,S-3,5
team:bundang_hs,S-2,4
team:bundang_hs,S-1,14
team:pangyo_hs,S-5,8
team:pangyo_hs,S-4,7
team:pangyo_hs,S-3,6
team:pangyo_hs,S-2,5
team:pangyo_hs,S-1,4
team:jungwon_hs,S-5,9
team:jungwon_hs,S-4,8
team:jungwon_hs,S-3,7
team:jungwon_hs,S-2,6
team:jungwon_hs,S-1,5
team:ilsan_hs,S-5,10
team:ilsan_hs,S-4,9
team:ilsan_hs,S-3,8
team:ilsan_hs,S-2,7
team:ilsan_hs,S-1,6
team:cheongna_hs,S-5,11
team:cheongna_hs,S-4,10
team:cheongna_hs,S-3,9
team:cheongna_hs,S-2,8
team:cheongna_hs,S-1,7
team:gyeyang_hs,S-5,12
team:gyeyang_hs,S-4,11
team:gyeyang_hs,S-3,10
team:gyeyang_hs,S-2,9
team:gyeyang_hs,S-1,8
team:gimpo_hs,S-5,13
team:gimpo_hs,S-4,12
team:gimpo_hs,S-3,11
team:gimpo_hs,S-2,10
team:gimpo_hs,S-1,9
team:pyeongtaek_hs,S-5,14
team:pyeongtaek_hs,S-4,13
team:pyeongtaek_hs,S-3,12
team:pyeongtaek_hs,S-2,11
team:pyeongtaek_hs,S-1,10
team:yeonsu_hs,S-5,15
team:yeonsu_hs,S-4,20
team:yeonsu_hs,S-3,19
team:yeonsu_hs,S-2,18
team:yeonsu_hs,S-1,17
team:pyeongchon_hs,S-5,16
team:pyeongchon_hs,S-4,15
team:pyeongchon_hs,S-3,20
team:pyeongchon_hs,S-2,19
team:pyeongchon_hs,S-1,18
team:sangnok_hs,S-5,17
team:sangnok_hs,S-4,16
team:sangnok_hs,S-3,15
team:sangnok_hs,S-2,20
team:sangnok_hs,S-1,19
team:sihwa_hs,S-5,18
team:sihwa_hs,S-4,17
team:sihwa_hs,S-3,16
team:sihwa_hs,S-2,15
team:sihwa_hs,S-1,20
team:misa_hs,S-5,19
team:misa_hs,S-4,18
team:misa_hs,S-3,17
team:misa_hs,S-2,16
team:misa_hs,S-1,15
team:osan_hs,S-5,20
team:osan_hs,S-4,19
team:osan_hs,S-3,18
team:osan_hs,S-2,17
team:osan_hs,S-1,16
team:seorak_hs,S-5,1
team:seorak_hs,S-4,2
team:seorak_hs,S-3,1
team:seorak_hs,S-2,2
team:seorak_hs,S-1,1
team:chiak_hs,S-5,2
team:chiak_hs,S-4,1
team:chiak_hs,S-3,2
team:chiak_hs,S-2,1
team:chiak_hs,S-1,2
team:bonguii_hs,S-5,3
team:bonguii_hs,S-4,6
team:bonguii_hs,S-3,5
team:bonguii_hs,S-2,4
team:bonguii_hs,S-1,3
team:gyeongpo_hs,S-5,4
team:gyeongpo_hs,S-4,3
team:gyeongpo_hs,S-3,6
team:gyeongpo_hs,S-2,5
team:gyeongpo_hs,S-1,4
team:seolbong_hs,S-5,5
team:seolbong_hs,S-4,4
team:seolbong_hs,S-3,3
team:seolbong_hs,S-2,6
team:seolbong_hs,S-1,5
team:taebaek_hs,S-5,6
team:taebaek_hs,S-4,5
team:taebaek_hs,S-3,4
team:taebaek_hs,S-2,3
team:taebaek_hs,S-1,6
team:geumgang_hs,S-5,1
team:geumgang_hs,S-4,1
team:geumgang_hs,S-3,1
team:geumgang_hs,S-2,1
team:geumgang_hs,S-1,1
team:yuseong_hs,S-5,2
team:yuseong_hs,S-4,6
team:yuseong_hs,S-3,5
team:yuseong_hs,S-2,4
team:yuseong_hs,S-1,3
team:gyeryong_hs,S-5,3
team:gyeryong_hs,S-4,2
team:gyeryong_hs,S-3,6
team:gyeryong_hs,S-2,5
team:gyeryong_hs,S-1,4
team:sangdang_hs,S-5,4
team:sangdang_hs,S-4,3
team:sangdang_hs,S-3,2
team:sangdang_hs,S-2,6
team:sangdang_hs,S-1,5
team:baekseok_hs,S-5,5
team:baekseok_hs,S-4,4
team:baekseok_hs,S-3,3
team:baekseok_hs,S-2,2
team:baekseok_hs,S-1,6
team:hongju_hs,S-5,6
team:hongju_hs,S-4,5
team:hongju_hs,S-3,4
team:hongju_hs,S-2,3
team:hongju_hs,S-1,2
team:musim_hs,S-5,7
team:musim_hs,S-4,12
team:musim_hs,S-3,11
team:musim_hs,S-2,10
team:musim_hs,S-1,9
team:seonggeo_hs,S-5,8
