id,name,region
school:hanseong,한성고,서울
school:cheongun,청운고,서울
school:doseong,도성고,서울
school:yangcheon,양천고,서울
school:cheongram,청람고,서울
school:daeyang,대양고,서울
school:myeongil,명일고,서울
school:namsan,남산고,서울
school:gangbyeon,강변고,서울
school:gwangun,광운고,서울
school:eunpyeong,은평고,서울
school:samjeon,삼전고,서울
school:hanbit,한빛고,서울
school:bugak,북악고,서울
school:sinjeong,신정고,서울
school:mongnyeon,목련고,서울
school:baekho,백호고,수원
school:songrim,송림고,인천
school:gwanggyo,광교고,수원
school:giheung,기흥고,용인
school:suseong,수성고,수원
school:manwol,만월고,인천
school:bundang,분당고,성남
school:pangyo,판교고,성남
school:jungwon,중원고,부천
school:ilsan,일산고,고양
school:cheongna,청라고,인천
school:gyeyang,계양고,인천
school:gimpo,김포고,김포
school:pyeongtaek,평택고,평택
school:yeonsu,연수고,인천
school:pyeongchon,평촌고,안양
school:sangnok,상록고,안산
school:sihwa,시화고,시흥
school:misa,미사고,하남
school:osan,오산고,오산
school:seorak,설악고,춘천
school:chiak,치악고,원주
school:bonguii,봉의고,춘천
school:gyeongpo,경포고,강릉
school:seolbong,설봉고,속초
school:taebaek,태백고,태백
school:geumgang,금강고,대전
school:yuseong,유성고,대전
school:gyeryong,계룡고,대전
school:sangdang,상당고,청주
school:baekseok,백석고,천안
school:hongju,홍주고,홍성
school:musim,무심고,청주
school:seonggeo,성거고,천안
school:tangeum,탄금고,충주
school:gyebaek_hs,계백고,부여
school:geumsan,금산고,금산
school:yesan,예산고,예산
school:mudeung,무등고,광주
school:baegyang,백양고,전주
school:bitgoeul,빛고을고,광주
school:mujin,무진고,광주
school:pungnam,풍남고,전주
school:wansan_hs,완산고,전주
school:yudal_hs,유달고,목포
school:wolmyeong,월명고,군산
school:seungju_hs,승주고,순천
school:odong_hs,오동고,여수
school:namak,남악고,무안
school:jungnim,죽림고,담양
school:gangjin_hs,강진고,강진
school:hwasun,화순고,화순
school:palgong,팔공고,대구
school:dalseong,달성고,대구
school:paldal,팔달고,대구
school:sincheon,신천고,대구
school:hyeongsan,형산고,포항
school:gyerim,계림고,경주
school:geumo,금오고,구미
school:yeongnam_hs,영남고,경산
school:yeongil,영일고,포항
school:nakdong_hs,낙동고,구미
school:hahoe_hs,하회고,안동
school:jungnyeong,죽령고,영주
school:haeun,해운고,부산
school:gaya_hs,가야고,창원
school:dongnae,동래고,부산
school:geumjeong_hs,금정고,부산
school:gwangan_hs,광안고,부산
school:bulmo,불모고,창원
school:taehwa_hs,태화고,울산
school:namgang_hs,남강고,진주
school:garak_hs,가락고,김해
school:taejong_hs,태종고,부산
school:masanman,마산만고,창원
school:munsu,문수고,울산
school:chokseok,촉석고,진주
school:bunseong_hs,분성고,김해
school:geoje_hs,거제고,거제
school:tongyeong_hs,통영고,통영
school:halla_hs,한라고,제주
school:hannae,한내고,제주
school:oreum,오름고,제주
school:seogwi_hs,서귀고,서귀포
school:seongsan_hs,성산고,서귀포
school:aewol,애월고,제주
