team_id,season,rank
team:seoul_ravens,S-5,2
team:seoul_ravens,S-4,2
team:seoul_ravens,S-3,1
team:seoul_ravens,S-2,2
team:seoul_ravens,S-1,1
team:paju_unicorns,S-5,5
team:paju_unicorns,S-4,6
team:paju_unicorns,S-3,5
team:paju_unicorns,S-2,6
team:paju_unicorns,S-1,6
team:daejeon_blaze,S-5,6
team:daejeon_blaze,S-4,5
team:daejeon_blaze,S-3,6
team:daejeon_blaze,S-2,3
team:daejeon_blaze,S-1,4
team:gwangju_rhinos,S-5,4
team:gwangju_rhinos,S-4,3
team:gwangju_rhinos,S-3,4
team:gwangju_rhinos,S-2,5
team:gwangju_rhinos,S-1,5
team:sangmu_phoenix,S-5,1
team:sangmu_phoenix,S-4,1
team:sangmu_phoenix,S-3,2
team:sangmu_phoenix,S-2,1
team:sangmu_phoenix,S-1,2
team:seoul_comets,S-5,8
team:seoul_comets,S-4,9
team:seoul_comets,S-3,8
team:seoul_comets,S-2,9
team:seoul_comets,S-1,10
team:incheon_griffons,S-5,3
team:incheon_griffons,S-4,4
team:incheon_griffons,S-3,3
team:incheon_griffons,S-2,4
team:incheon_griffons,S-1,3
team:daegu_hawks,S-5,7
team:daegu_hawks,S-4,7
team:daegu_hawks,S-3,7
team:daegu_hawks,S-2,8
team:daegu_hawks,S-1,7
team:busan_sealions,S-5,9
team:busan_sealions,S-4,8
team:busan_sealions,S-3,10
team:busan_sealions,S-2,7
team:busan_sealions,S-1,8
team:wonju_winners,S-5,10
team:wonju_winners,S-4,10
team:wonju_winners,S-3,9
team:wonju_winners,S-2,10
team:wonju_winners,S-1,9
